img_url,img_caption,img_desc
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/14031782_547531065439120_807872316_n.jpg,"Today was the last first day of high school for Bella and I.",I think it's a man holding a dog and he seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21433705_1868252413490287_9128919396708777984_n.jpg,"🖤❌▫️Rule 9❕🚫♠️",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :neutral_face: :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22426698_282498132259040_7683604472869683200_n.jpg,"Thanks for showing up waka flocka",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20180919_1404924602917602_5009037640826093568_n.jpg,"Happy 20th birthday Sarie!! Thanks for always putting up with me and still liking me even though I annoy you like crazy 😂. Hope you had the amazing birthday that you deserve! Love you ❤️",I think it's a man standing next to a body of water and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23969605_147197992586612_1418633852556935168_n.jpg,"Today I take the field one last time! Go dogs🐾 #victory #beatboise #fsbmb #fresnostatefeaturetwirlers",I think it's a group of people walking on the tennis court 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20968943_1916433382016929_5284852293022253056_n.jpg,"I miss my best friends ❤️",I think it's a couple of people on a beach next to the ocean and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/22857735_148218992461534_7154452038007390208_n.jpg,"We had such a happy and wonderful homecoming this past weekend! 😍🤗 shout out to our Wildcats for another amazing win! 😼♥️💙 #AZAlphaPhi #Homecoming2017 #BearDown",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23735497_504183839963312_2135740941124763648_n.jpg,"🌞🌞🌞🌞 in November sounds about right",I think it's a close up of a woman and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23279753_232909147245386_4560070570342875136_n.jpg,"I️ I️ I️ I️ I️ I️ !!!!!",I think it's Cassie Scerbo posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22857944_127701097916088_3666899217395220480_n.jpg,"Can't spell dawgs without a W",I think it's a woman sitting on a bench posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22280902_1760328464269146_2295284188598763520_n.jpg,"What a glorious eve! ✨",I think it's a woman sitting on a bench posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/18879553_104138883520571_4438067836706881536_n.jpg,"Mr. Steal yo girl",I think it's person wearing sunglasses posing for the camera and she seems :neutral_face: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/21689180_732914523559997_3832523206552453120_n.jpg,"Hardest goodbye👋🏽😢 see ya v soon sis💕",I think it's a woman sitting at a table eating food and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/20905437_169877900225769_501982252704464896_n.jpg,"Hunny I'm home #aphi",I think it's a group of people smiling for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22580725_158168798106552_5023275367218020352_n.jpg,"#summer",I think it's a close up of a woman 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23595066_1458449290890942_4438557531698102272_n.jpg,"heeeey boston see ya soon ‼️‼️",I think it's a group of people on a court 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22858021_1192860510847995_7800752793949569024_n.jpg,"Identity crisis",I think it's person wearing a black shirt and he seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23347838_1358366030941437_5435622829276004352_n.jpg,"It’s almost my birthday —  midnight tonight!! 5am flight but of course I’m wide awake. 🌙☁️How can you sleep when you’re already living in a dream?! ☁️🌙 This weekend has been incredible — @renaecowley said it best... “So honored to work with this band of beauties on the @thebeautybattalion cover shoot today. Their mission and vision has touched me so deeply. They have helped renewed my belief that true beauty comes from within. They've taught me that every women deserves to feel like a cover model though acknowledging and embracing her inner beauty. No amount of hair makeup and Photoshop can touch the glow of a woman with confidence and charity in her heart ❤ . . Instead of feeling jealous or defeated by the standard of beauty the media portrays we need to push back on the pursuit of perfection to celebrate our uniqueness and the beauty that only comes from within. Thank you to the entire crew from today's shoot for sharing your purpose and message with us. The world needs more #bossbabes like this tribe. I love you gals!” 💞👸🏼 . . . Special thanks to the team of incredible people who helped make this fabulous day happen! ✅Publication: @thebeautybattalion ✅Hair: @beauty.by.becca.k ✅Makeup: @missy.lovett ✅Photographer: @ashtynjadeproductions ✅Creative/Styling: @jemimas_life_in_the_saddle ✅Styling/Wardeobe: @rodeoqueenofhearts ✅Custom Hats: @burnshats / @burns_saddlery / @boston_bradshaw ✅Wild Rags: @buck_wild_custom_wild_rags ✅Venue: @barbwire4646 ✅Quilts: @quilt101 ✅Co-Cover Model: @renaecowley",I think it's a woman wearing a hat and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23101491_1109485745853573_2304251985823531008_n.jpg,"Happy Halloween! You can tell it's really spooky because we have red-eye 👻",I think it's Diana Amft et al posing for a photo and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23596430_157098624908018_3157211381044871168_n.jpg,"Parents cocktail minus the parents ¯\_(ツ)_/¯",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22158658_128296607918502_1285490106899103744_n.jpg,"I've been sick sick sick for three days so it was nice to split some garlic naan with these friends.",I think it's a group of people sitting at a table eating food and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23596562_144964919481191_3310226961128751104_n.jpg,"#eΧpl�::re with Chi Omega!",I think it's a group of people standing in front of a crowd 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21569208_2002066326718279_933590023154958336_n.jpg,"go see my girl @mad_a_lion_ to get ya hur right 👸🏼",I think it's a close up of a woman and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20986825_120261768626136_2876652422074204160_n.jpg,"Santorini I love you.",I think it's a woman standing in front of a snow covered mountain and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20393560_329156617539512_4052193466434715648_n.jpg,"my face when realizing summer is halfway over",I really can't describe the picture :flushed_face:
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22858256_141837263023890_2679766684524347392_n.jpg,"Marketing Prof. and Mr. Peanut “cracking” cases 🥜",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20634962_342922762803196_7885218531325771776_n.jpg,"Hiking szn",I think it's a woman standing in front of a mountain 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/19121827_1885447528360692_947921049121456128_n.jpg,"s/o to my jokester of a dad: thank you for brightening my days with your tie dye shirts yelling through facetime while I'm in the quiet room of Library West enlightening me with political talk shows (and the occasional Real Housewives of Beverly Hills) and embarrassing me with boys since I was in 4th grade. You may be 5'5 but with the megaphone you have the voice of someone *at least* 6'2 ; )",I think it's Tim Burton holding a frisbee and they seem :neutral_face: :neutral_face: :neutral_face: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23416800_126688584686694_5665219192371019776_n.jpg,"Turns out a lot of people like pizza 😉 Couldn't have done it without ya!🍕🙈",I think it's person posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22159458_134184393875322_2419604916084408320_n.jpg,"Happy Birthday to my sweet Grace Olson. Party hard in heaven but not too hard LTC. #groutfitsongroutfits #hbdgracie #makeolsonfunnyagain",I think it's a woman riding on the back of a car and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22159222_606651529724985_1982830927042052096_n.jpg,"Make it like your BID day everyday! 🎂 We received the best presents we could have ever asked for: our 2017 pledge class! 🎉 Welcome home babes we adore you already! 💕 #AOE #scualphaphi #scgoesgreek #goalphaphi #bidday2017",I think it's Eliza Coupe et al posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23101794_150867835526262_1743763087317532672_n.jpg,"First time I tried for Halloweekend lol",I think it's a couple of people posing for the camera and they seem :neutral_face: :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/19379217_1724890994477467_6947764910210154496_n.jpg,"hiked 8 miles for this pic #basic",I think it's a group of people posing in front of a body of water and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23668465_327969247670358_5407215984299737088_n.jpg,"s/o to tps and oovoo for making this friendship happen🤗",I think it's a couple of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21690119_2010750902538416_5449126227929464832_n.jpg,"At one point people cheered for me bc i went out this weekend. What a time to be me",I think it's a woman posing for a picture and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23823821_489696728082860_9213025941675048960_n.jpg,"Winter's magic finding warmth and making memories in that early fading light. ✨",I think it's a house with trees in the background 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23421635_1477950285636955_3018570897586913280_n.jpg,"Hi friends the world is a great big scary place right now so here’s your reminder to do what is necessary for you to be okay.  #songrec no children // the mountain goats",I think it's a man standing in front of a building and he seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22427238_180670045824659_984006668557746176_n.jpg,"matching shoes #friendshiprocks",I think it's a woman standing in a room and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/17663338_1655043751206326_2776641355512807424_n.jpg,"From CM to Welch to Senior year no one brings the party quite like Carolyn. #daykegs",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22858007_144341782978928_1390061818843496448_n.jpg,"Out here in an igloo drinking coffee living my best life. 📸: @parzipan",I think it's a woman holding a wine glass and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20686933_124702668152183_3743580610015264768_n.jpg,"My promo for Scoot is JULIANN3. Use it to sign up for free and get 2 hours of scooting! https://app.scoot.co/#sign_up?promo_code=JULIANN3",I think it's a group of people riding on the back of a motorcycle 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22639506_291572987914698_9158580823107043328_n.jpg,"🥀",I think it's a woman posing for a picture and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23098702_1948017645460156_2469257160387723264_n.jpg,"catch us hoppin’ (read: stumblin’) round the stadium lot",I think it's a group of people holding stuffed animals and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21480220_129950107642617_8305170305995767808_n.jpg,"Rejoice always • pray continually • give thanks in all circumstances",I think it's a woman standing in front of a brick wall and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23279821_1533555430024548_462699064476041216_n.jpg,"Watched so much stranger things in one day I feel like I’m living in the upside down👻",I think it's a girl posing for a picture and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22708830_849375715240098_6919062395390263296_n.jpg,"More doughnut disposables♥️",I think it's a vase filled with flowers sitting on a table 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23101097_847814695393439_4418721139342180352_n.jpg,"bad & boujee",I think it's a woman standing in a room and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22793859_360367447738125_1648184968171487232_n.jpg,"Family time is the best time",I am not really confident but I think it's a large building with many windows and a light 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20214489_1950014745262313_7889594991331246080_n.jpg,"thanks for visiting the land of corn and aliens!!",I think it's a woman sitting on a bench in front of a brick building and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23594307_119747872134501_4030689514371416064_n.jpg,"These big/little pics just keep getting better and better💖 congrats to the ladies of @gammaphibetaslo and @calpolyalphagam on the newest additions to their families😻",I think it's a group of people posing for a photo and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22710545_284093055328189_7816257844931461120_n.jpg,"i'm the great pumpkin charlie brown",I think it's a woman holding a knife 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21690777_475837426136550_659618530404073472_n.jpg,"happy birthday to my baby brothaa !!🌟🌟 miss you lots today & always💕",I think it's a man standing next to a body of water 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21827002_1302516903190978_1877049004982796288_n.jpg,"Starting off my first day of senior year playing the sport that I love 🎾💕Incredibly grateful for this opportunity and to be representing the WAC #OracleITAMasters",I think it's a woman posing for a picture and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23507988_164051090999672_6941201019065860096_n.jpg,"would definitely go back right now.🌻 •• * 📸 @sarahplayter *",I think it's a man standing next to a forest 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22582580_1728186460820881_913069764631330816_n.jpg,"2 years ago today 🗓�::🇹 such munchkins💚❤️",I think it's a woman standing in front of a brick wall and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/12120246_1633598053558767_340257082_n.jpg,"The last game I'll ever play. Grateful for my team and my brothers!!!!",I think it's a group of people standing on a stage posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e15/23596553_129189584422237_3778571626971398144_n.jpg,"Unbelievable. S/O dawg fans that stayed despite being down 30-23 with 2 min left. S/O Utah coach for calling timeout and allowing us to win with 18 seconds left. S/O @jakebrowning72 . S/O Coach Peterson. S/O defense. S/O this guy named Jonathan who was wearing cougar gear in the Dawg Pack. S/O @abby__hay for the videoS/O @tristanvizcaino3 for the game winner never had a doubt it would go in. #GoDawgs #AppleCupReady #PurpleReign",I think it's a group of people sitting around a dog 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23279951_124412388252734_562869972540325888_n.jpg,"And without you I can’t be You’re the universe to me You’re the air in my lungs You’re the fields where I run You’re the sky where I’m floating  It’s you. 🎵🕺🏼💃🏻 @sevenlionsmusic",I think it's a man and a woman taking a selfie and they seem :neutral_face: :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22500634_912055168943401_3424210097469915136_n.jpg,"please please please please read this everyone everywhere",I think it's a woman holding a sign 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20184664_269371776877212_6732281435987640320_n.jpg,"Thanks for being cool while I cried 👍🏼",I think it's a group of people standing in front of a crowd and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :neutral_face: :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20184266_358330681251078_8555809178457735168_n.jpg,"How lucky AMI to have such a good photographer 😜 @jennaturner13",I think it's a girl sitting on a beach and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22860641_141571546496706_4817362613434318848_n.jpg,"Let’s get physical! 🏋️‍♀️ #imatellen #happyhalloween",I think it's a girl posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/19534684_442660656089912_6281709361995710464_n.jpg,"I love him more than Drake & Donuts (which is a lot) �::",I think it's a man and a woman standing in a garden and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21435352_287693288381584_3011451035811053568_n.jpg,"BIG celebrations are to be had for this girl!!! Watch out world because Skylar is going to be the best Nurse on the planet! Congratulations to this sweet sister of mine for being accepted into NURSING SCHOOL! #bigdeal #proudseester",I think it's a woman smiling for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22711045_442982319432584_1102386640229236736_n.jpg,"Finally made it to the tippy top of New Zealand",I think it's a close up of a sign 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21480618_493876607631926_8641043676325216256_n.jpg,"I'm convinced I'm having a quarter life crisis but that also means I'll only live to 80 soo🤷🏼‍♀️😂",I think it's a woman standing in front of a building and she seems :neutral_face: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/19931783_1598533506831940_6006866149797527552_n.jpg,"3000 feet of climbing ~18 miles of hiking/scrambling and one awesome (very long) day! •  Mt. Stuart full north ridge",I think it's a man standing on the side of a mountain 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23101872_274707046385440_4987725523477069824_n.jpg,"I stole her booty & she stole my heart 😏👻",I think it's a woman posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23735359_402088686877511_6715252062457692160_n.jpg,"Velvet turkey #thankfulthursday",I think it's Dana Plato standing on a sidewalk and they seem :neutral_face: :neutral_face: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23734346_339434443192771_2017080198851198976_n.jpg,"We had a great time at big little reveal!! #LoveYouLikeΧ�::",I think it's Kaitlyn Lawes et al posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21689880_1845479435781732_7116134598945275904_n.jpg,"1st round down #uwffr17",I think it's a girl posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21984669_121318141865616_6112185323490377728_n.jpg,"love my ladies 💙💛 #pjpcheerislife",I think it's a group of people posing for a photo and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22582034_1813290685629766_7486756462312554496_n.jpg,"Location",I think it's a girl posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21479728_343062782774443_1190989483378475008_n.jpg,"Better late than never💕⚓️ hbd bbyG #21",I think it's a woman posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e15/22427645_122760475146956_7371605197946093568_n.jpg,"🦄🌈⭐️ slush it up @slushiimusic ⭐️🌈🦄",I think it's a close up of a computer 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23823579_2025795607663853_7721531379145506816_n.jpg,"thankful for my fluffy bear cub💘 #goldendoodlesofinstagram #doodlelove",I think it's a woman holding a teddy bear 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23164474_1486474944785052_7494954197670952960_n.jpg,"Follow @discoverocean to see more awesome ocean photos. - Follow the leader! 🐋 Photo by @slatermoorephotography",I am not really confident but I think it's a man riding a wave on a surfboard in the water 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22860495_371205396635597_4676688682005037056_n.jpg,"Dawg saturdays are where it's @",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23735313_156916015056761_5519626849077952512_n.jpg,"George and I hope everyone has a lovely Thanksgiving ❥",I think it's a woman standing in front of a mirror posing for the camera and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/22582303_1882659982062103_5639497831531151360_n.jpg,"So glad this sweet nug came home today ❤️ #noplacelikehome #noplacelikegphi",I think it's a group of people posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20766692_156203931623805_1118969186836545536_n.jpg,"I guess we rly like plants! 🌱🌱#bgrselfie #bgr17",I think it's a woman standing in front of a brick building and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/22802362_177430539479548_2871847805368926208_n.jpg,"Why can’t every weekend be like this @westchester",I think it's a woman posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21911490_1203099616457729_6712217625113395200_n.jpg,"Best brother best weekend 🏈",I think it's person standing in front of a brick wall posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23498762_777901099084236_5072756658938052608_n.jpg,"We are overjoyed to announce the completion of the Gamma's pledging period! Congratulations on all of your hard work we love each and every one of you💜",I think it's a group of people posing for a photo and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/18443589_211025236078826_1306002776215519232_n.jpg,"My ladies 🎾",I really can't describe the picture :flushed_face:
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23594409_1949470281969670_4615728755178995712_n.jpg,"last one ❤️💛",I think it's a woman standing in front of a window posing for the camera and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/23101377_1971470756436818_9075344451399843840_n.jpg,"Happy Halloween from zeta gamma! 🌻🍂 We hope your day is full of candy and pumpkins 👻❣️#AOE #scualphaphi",I think it's a woman posing for a picture and she seems :grinning_face_with_smiling_eyes: 
https://scontent-ort2-1.cdninstagram.com/t51.2885-15/e35/23824394_1727728123967876_6020836372741357568_n.jpg,"It’s my little’s birthday!!!! So thankful to have you Sobel u deserve the world <3",I think it's a woman posing for a picture and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/20759113_1910145169245806_8304517174614032384_n.jpg,"AmsterDAYUMMM my sister's fine",I think it's a group of people walking down a street next to a river and they seem :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: 
https://scontent-ort2-2.cdninstagram.com/t51.2885-15/e35/21820304_1625135694197955_1041089824758431744_n.jpg,"Holding up #2 cause we lost :/",I think it's a woman standing next to a brick wall and they seem :neutral_face: :neutral_face: 
